,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
487,Reiss Nelson,MID,Arsenal,0.0,0,0,0,0,0.0,531,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,1015,0,1,0.0,0,-300,127,427,50,True,0,Norwich,2021-22,,,,,
488,Rob Holding,DEF,Arsenal,1.0,0,0,0,0,0.0,14,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,91804,0,1,0.0,0,-14489,11865,26354,43,True,0,Norwich,2021-22,,,,,
489,Harry Kane,FWD,Spurs,1.3,0,0,8,0,2.3,357,34,3,0,1.6,13.8,2021-09-11T11:30:00Z,90,7,0,0,0,0,4,0,680349,0,3,0.0,2,-9460,180122,189582,123,False,0,Crystal Palace,2021-22,,,,,
491,Seamus Coleman,DEF,Everton,3.4,0,0,12,0,6.6,165,35,1,0,2.3,10.4,2021-09-13T19:00:00Z,90,5,0,0,0,0,4,0,71452,1,3,6.0,2,13523,51237,37714,50,True,0,Burnley,2021-22,,,,,
492,Harvey Barnes,MID,Leicester,1.5,0,0,4,0,4.3,215,37,1,0,1.0,0.0,2021-09-11T14:00:00Z,72,12,0,0,0,0,4,0,418449,1,0,6.0,2,-266212,11614,277826,68,True,0,Man City,2021-22,,,,,
493,Sergio Reguilón,DEF,Spurs,6.3,0,0,8,0,14.7,370,34,3,0,4.3,26.2,2021-09-11T11:30:00Z,90,7,0,0,0,0,4,0,1079250,0,3,2.0,1,392106,546146,154040,52,False,0,Crystal Palace,2021-22,,,,,
494,Timothy Castagne,DEF,Leicester,0.8,0,0,6,0,1.2,209,37,1,0,1.2,10.6,2021-09-11T14:00:00Z,90,12,0,0,0,0,4,0,56576,1,0,0.0,2,-6183,3821,10004,54,True,0,Man City,2021-22,,,,,
495,Joachim Andersen,DEF,Crystal Palace,3.8,0,1,33,1,0.8,488,34,0,0,1.7,16.2,2021-09-11T11:30:00Z,90,17,0,0,0,0,4,0,32566,0,3,0.0,7,-3301,1687,4988,45,True,0,Spurs,2021-22,,,,,
497,Tom Heaton,GK,Man Utd,1.0,0,0,0,0,0.0,509,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,46382,1,4,0.0,0,2907,11228,8321,40,True,0,Newcastle,2021-22,,,,,
502,Frederico Rodrigues de Paula Santos,MID,Man Utd,1.7,0,0,0,0,0.0,274,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,53575,1,4,0.0,0,-8845,10061,18906,50,True,0,Newcastle,2021-22,,,,,
503,Yerson Mosquera Valdelamar,DEF,Wolves,0.4,0,0,0,0,0.0,446,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,18,0,0,0,0,4,0,1689,2,0,0.0,0,-171,69,240,45,False,0,Watford,2021-22,,,,,
