,name,position,team,opponent_team,round,xP,season,minutes_lag_1,minutes_lag_2,bps_lag_1,minutes_lag_3,influence_lag_1,total_points_lag_1,selected_lag_1,selected_lag_2,selected_lag_3,threat_lag_1,bps_lag_2,influence_lag_2,creativity_lag_1,bps_lag_3,influence_lag_3,total_points_lag_2,threat_lag_2,total_points_lag_3,transfers_in_lag_2,creativity_lag_2,goals_conceded_lag_1,goals_conceded_lag_1.1,value_lag_2,value_lag_1,value_lag_3,threat_lag_3,creativity_lag_3,expected_goal_involvements_lag_1,transfers_in_lag_1,expected_goals_lag_1,transfers_in_lag_3,expected_goals_conceded_lag_1,goals_scored_lag_1,goals_scored_lag_1.1,expected_goal_involvements_lag_2,goals_conceded_lag_2,goals_conceded_lag_2.1,bonus_lag_1,goals_scored_lag_3,goals_scored_lag_3.1,expected_goals_lag_2,goals_conceded_lag_3,goals_conceded_lag_3.1,clean_sheets_lag_2.1,clean_sheets_lag_2,clean_sheets_lag_1,clean_sheets_lag_1.1,expected_assists_lag_1,expected_goal_involvements_lag_3,expected_assists_lag_2,expected_goals_lag_3,bonus_lag_3,goals_scored_lag_2.1,goals_scored_lag_2,transfers_out_lag_1,expected_goals_conceded_lag_2,bonus_lag_2,total_points
3682,Jordan Pickford,GK,Everton,1,25,5.1,2022-23,90,90,14,90,22.4,2,878382,585910,574843,0.0,21,7.6,0.0,12,26.0,6,0.0,1,18688,0.0,2,2,44,44,44,0.0,0.0,0.0,146648,0.0,13079,1.94,0,0,0.01,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.01,0.0,0,0,0,15995,0.6,0,0
3683,Jeffrey Schlupp,MID,Crystal Palace,12,25,2.7,2022-23,90,70,8,82,7.2,2,12653,12609,11986,4.0,6,5.2,11.8,22,45.0,2,0.0,6,882,0.3,1,1,47,47,47,28.0,1.7,0.05,549,0.05,198,0.83,0,0,0.0,1,1,0,1,1,0.0,2,2,0,0,0,0,0.01,0.31,0.0,0.29,0,0,0,543,1.9,0,3
3684,Douglas Luiz Soares de Paulo,MID,Aston Villa,8,25,2.8,2022-23,66,90,7,90,18.6,1,48944,48120,51311,3.0,20,22.8,3.0,18,16.6,5,0.0,2,738,12.1,2,2,48,48,48,0.0,44.2,0.06,2482,0.05,3867,1.5,0,0,0.03,3,3,0,0,0,0.0,4,4,0,0,0,0,0.01,0.14,0.03,0.0,0,0,0,1968,3.59,0,3
3685,Jordan Ayew,MID,Crystal Palace,12,25,1.5,2022-23,90,90,12,72,17.8,1,25663,25813,26138,6.0,6,9.2,50.8,5,7.0,2,10.0,2,488,12.7,1,1,53,53,53,0.0,5.0,0.17,543,0.0,451,0.83,0,0,0.01,1,1,0,0,0,0.0,2,2,0,0,0,0,0.17,0.01,0.01,0.0,0,0,0,782,2.36,0,3
3686,Aaron Cresswell,DEF,West Ham,16,25,0.2,2022-23,0,0,0,0,0.0,0,152615,162440,167645,0.0,0,0.0,0.0,0,0.0,0,0.0,0,1493,0.0,0,0,48,47,48,0.0,0.0,0.0,210,0.0,1825,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,10122,0.0,0,1
3687,Andrew Robertson,DEF,Liverpool,7,25,8.6,2022-23,90,90,34,85,23.6,8,600114,579866,606736,2.0,23,7.0,40.3,13,8.4,5,0.0,1,20382,16.8,0,0,68,68,68,24.0,17.0,0.39,37660,0.0,62983,2.05,0,0,0.09,0,0,2,0,0,0.0,3,3,1,1,1,1,0.39,0.63,0.09,0.54,0,0,0,20412,0.28,0,5
3688,Andrew Robertson,DEF,Liverpool,20,25,8.6,2022-23,90,90,25,90,7.0,5,969269,600114,579866,2.0,34,23.6,3.9,23,7.0,8,2.0,5,37660,40.3,0,0,68,68,68,0.0,16.8,0.02,277119,0.0,20382,0.6,0,0,0.39,0,0,0,0,0,0.0,0,0,1,1,1,1,0.02,0.09,0.39,0.0,0,0,0,24533,2.05,2,0
3689,Marcos Alonso,DEF,Chelsea,18,25,0.0,2022-23,0,0,0,0,0.0,0,75726,75893,76064,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,53,53,53,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,171,0.0,0,0
3690,Nélson Cabral Semedo,DEF,Wolves,9,25,3.9,2022-23,90,83,18,90,22.0,2,55763,49399,40073,0.0,2,7.0,22.3,20,23.6,1,9.0,6,10116,3.8,1,1,50,50,50,0.0,1.9,0.04,8427,0.0,2327,1.01,0,0,0.03,1,1,0,0,0,0.01,0,0,0,0,0,0,0.04,0.01,0.02,0.0,0,0,0,2283,0.79,0,2
3691,Nélson Cabral Semedo,DEF,Wolves,12,25,3.9,2022-23,90,90,22,83,21.8,2,125329,55763,49399,2.0,18,22.0,13.3,2,7.0,2,0.0,1,8427,22.3,1,1,50,50,50,9.0,3.8,0.1,36839,0.0,10116,0.47,0,0,0.04,1,1,0,0,0,0.0,1,1,0,0,0,0,0.1,0.03,0.04,0.01,0,0,0,6302,1.01,0,0
