,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,position,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
68,Mohamed_Salah_191,0,0,12,0,18.5,191,237,1,0,11.5,10.8,2020-01-23T20:00:00Z,84,20,0,0,0,0,24,0,2229655,2.0,1.0,86.0,2,283380,299473,16093,124,False,0,Wolves,2019-20,,,,,,,,
69,Mohamed_Salah_191,1,3,44,1,28.8,191,180,0,1,12.7,50.0,2020-01-29T19:45:00Z,90,19,0,0,0,0,24,0,2229655,2.0,0.0,48.0,14,283380,299473,16093,124,False,0,West Ham,2019-20,,,,,,,,
70,Sadio_Mané_192,0,0,6,0,17.0,192,237,0,0,2.6,5.4,2020-01-23T20:00:00Z,32,20,0,0,0,0,24,0,3098989,2.0,1.0,4.0,1,128182,183894,55712,124,False,0,Wolves,2019-20,,,,,,,,
71,Sadio_Mané_192,0,0,0,0,0.0,192,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,3098989,2.0,0.0,0.0,0,128182,183894,55712,124,False,0,West Ham,2019-20,,,,,,,,
72,Kevin_De Bruyne_215,0,0,10,0,46.4,215,248,2,0,10.1,11.2,2020-02-02T16:30:00Z,90,17,0,0,0,0,25,0,3938348,0.0,2.0,43.0,2,167175,213846,46671,107,False,0,Spurs,2019-20,,,,,,,,
73,Mohamed_Salah_191,0,3,48,1,32.5,191,245,0,2,21.3,80.6,2020-02-01T15:00:00Z,90,16,0,0,0,0,25,0,3010184,0.0,4.0,100.0,16,803943,822531,18588,126,True,0,Southampton,2019-20,,,,,,,,
74,Sadio_Mané_192,0,0,0,0,0.0,192,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,16,0,0,0,0,25,0,1801221,0.0,4.0,0.0,0,-1245778,17452,1263230,123,True,0,Southampton,2019-20,,,,,,,,
75,Sadio_Mané_192,0,0,21,0,2.6,192,257,0,1,5.7,33.2,2020-02-15T17:30:00Z,30,14,0,0,0,0,26,0,1497929,1.0,0.0,21.0,5,-325714,14850,340564,122,False,1,Norwich,2019-20,,,,,,,,
76,Kevin_De Bruyne_215,1,3,51,1,87.1,215,256,0,1,19.7,79.8,2020-02-19T19:30:00Z,78,19,0,0,0,0,26,0,3974254,0.0,2.0,30.0,14,29901,101926,72025,108,True,0,West Ham,2019-20,,,,,,,,
77,Mohamed_Salah_191,0,0,3,1,24.7,191,257,0,0,11.3,7.2,2020-02-15T17:30:00Z,90,14,0,0,0,0,26,0,3339544,1.0,0.0,81.0,3,336144,347516,11372,127,False,0,Norwich,2019-20,,,,,,,,
